t c u v
1 5 0 -19
2 -1 0 -23
3 7 0 -24
4 8 0 -17
5 7 0 -15
6 5 0 -13
7 0 0 -7
8 0 0 -5
9 0 0 -4
10 -1 -1 -3
11 -5 -1 0
11 -5 0 -1
12 -9 0 2
13 -10 0 2
14 -10 0 2
15 -9 0 1
15 -9 1 1
15 -9 2 1
15 -9 3 1
15 -9 4 0
15 -9 5 0
16 -10 5 1
17 -11 5 3
18 -11 5 2
19 -12 5 -2
20 -13 4 -1
21 -14 3 0
22 -19 3 1
23 -24 3 1
23 -24 4 0
24 -28 4 0
24 -28 5 0
24 -28 6 -1
25 -32 6 2
25 -32 7 1
25 -32 8 0
25 -32 9 -1
25 -32 10 -2
25 -32 11 -2
26 -37 11 2
26 -37 12 1
26 -37 13 0
26 -37 14 -1
27 -41 14 2
28 -45 14 1
28 -45 15 0
29 -49 15 -1
30 -50 14 0
30 -50 15 -1
30 -50 16 -2
31 -56 16 3
32 -57 16 -1
32 -57 17 -1
32 -57 18 -2
33 -63 18 0
34 -67 18 3
35 -67 17 3
36 -68 16 4
37 -68 15 4
38 -69 14 5
39 -74 13 10
40 -75 12 11
41 -79 11 15
42 -83 10 19
43 -84 9 20
44 -85 8 21
45 -85 7 21
46 -85 6 21
47 -86 5 22
48 -86 4 22
49 -87 3 23
50 -93 2 29
51 -94 1 30
52 -98 0 34
53 -99 -1 35
54 -100 -2 36
55 -101 -3 37
56 -101 -4 37
57 -100 -5 36
58 -95 -6 31
59 -93 -7 29
60 -91 -8 27
61 -90 -9 26
62 -90 -10 26
63 -90 -11 26
64 -90 -12 26
65 -90 -13 26
66 -89 -14 25
67 -88 -15 24
68 -87 -16 23
69 -85 -17 21
70 -84 -18 20
71 -82 -19 18
72 -78 -20 14
73 -77 -21 13
74 -76 -22 12
75 -74 -23 10
76 -73 -24 9
77 -72 -25 8
78 -68 -26 4
79 -67 -27 3
80 -66 -28 2
81 -65 -29 1
82 -64 -30 0
82 -64 -29 0
82 -64 -28 1
83 -60 -28 -1
83 -60 -27 0
84 -58 -27 -1
84 -58 -26 0
85 -56 -26 -1
86 -55 -26 0
87 -54 -26 1
88 -54 -26 2
89 -54 -26 3
90 -54 -26 3
90 -54 -25 4
90 -54 -24 5
90 -54 -23 6
90 -54 -22 7
90 -54 -21 8
90 -54 -20 9
90 -54 -19 9
90 -54 -18 9
90 -54 -17 9
90 -54 -16 11
90 -54 -15 12
90 -54 -14 13
90 -54 -13 14
90 -54 -12 15
90 -54 -11 16
90 -54 -10 17
90 -54 -9 17
90 -54 -8 17
90 -54 -7 18
90 -54 -6 19
90 -54 -5 19
90 -54 -4 19
90 -54 -3 19
90 -54 -2 19
90 -54 -1 19
90 -54 0 20
