t q c
1 5 -14
2 -1 -24
3 7 -17
4 8 -9
5 7 -8
6 5 -8
7 0 -7
8 0 -5
9 0 -4
10 -1 -5
11 -5 -6
12 -9 -7
13 -10 -8
14 -10 -8
15 -9 -8
16 -10 -8
17 -11 -8
18 -11 -8
19 -12 -9
20 -13 -9
21 -14 -9
22 -19 -8
23 -24 -9
24 -28 -14
25 -32 -18
26 -37 -23
27 -41 -24
28 -45 -28
29 -49 -28
30 -50 -29
31 -56 -30
32 -57 -31
33 -63 -32
34 -67 -33
35 -67 -34
36 -68 -34
37 -68 -35
38 -69 -36
39 -74 -37
40 -75 -38
41 -79 -39
42 -83 -44
43 -84 -45
44 -85 -50
45 -85 -51
46 -85 -52
47 -86 -53
48 -86 -58
49 -87 -58
50 -93 -59
51 -94 -63
52 -98 -64
53 -99 -64
54 -100 -63
55 -101 -61
56 -101 -60
57 -100 -59
58 -95 -58
59 -93 -57
60 -91 -55
61 -90 -53
62 -90 -52
63 -90 -51
64 -90 -51
65 -90 -50
66 -89 -49
67 -88 -48
68 -87 -47
69 -85 -46
70 -84 -45
71 -82 -45
72 -78 -45
73 -77 -45
74 -76 -43
75 -74 -42
76 -73 -41
77 -72 -40
78 -68 -39
79 -67 -38
80 -66 -37
81 -65 -37
82 -64 -37
83 -60 -36
84 -58 -35
85 -56 -35
86 -55 -35
87 -54 -35
88 -54 -35
89 -54 -35
90 -54 -34
