t q c v
1 5 -14 -19
2 -1 -24 -23
3 7 -17 -24
4 8 -9 -17
5 7 -8 -15
6 5 -8 -13
7 0 -7 -7
8 0 -5 -5
9 0 -4 -4
10 -1 -5 -4
11 -5 -6 -1
12 -9 -7 2
13 -10 -8 2
14 -10 -8 2
15 -9 -8 1
16 -10 -8 2
17 -11 -8 3
18 -11 -8 3
19 -12 -9 3
20 -13 -9 4
21 -14 -9 5
22 -19 -8 11
23 -24 -9 15
24 -28 -14 14
25 -32 -18 14
26 -37 -23 14
27 -41 -24 17
28 -45 -28 17
29 -49 -28 21
30 -50 -29 21
31 -56 -30 26
32 -57 -31 26
33 -63 -32 31
34 -67 -33 34
35 -67 -34 33
36 -68 -34 34
37 -68 -35 33
38 -69 -36 33
39 -74 -37 37
40 -75 -38 37
41 -79 -39 40
42 -83 -44 39
43 -84 -45 39
44 -85 -50 35
45 -85 -51 34
46 -85 -52 33
47 -86 -53 33
48 -86 -58 28
49 -87 -58 29
50 -93 -59 34
51 -94 -63 31
52 -98 -64 34
53 -99 -64 35
54 -100 -63 37
55 -101 -61 40
56 -101 -60 41
57 -100 -59 41
58 -95 -58 37
59 -93 -57 36
60 -91 -55 36
61 -90 -53 37
62 -90 -52 38
63 -90 -51 39
64 -90 -51 39
65 -90 -50 40
66 -89 -49 40
67 -88 -48 40
68 -87 -47 40
69 -85 -46 39
70 -84 -45 39
71 -82 -45 37
72 -78 -45 33
73 -77 -45 32
74 -76 -43 33
75 -74 -42 32
76 -73 -41 32
77 -72 -40 32
78 -68 -39 29
79 -67 -38 29
80 -66 -37 29
81 -65 -37 28
82 -64 -37 27
83 -60 -36 24
84 -58 -35 23
85 -56 -35 21
86 -55 -35 20
87 -54 -35 19
88 -54 -35 19
89 -54 -35 19
90 -54 -34 20
