t x y z
1 16 24 69
2 9 12 72
3 1 1 75
4 14 0 91
5 25 1 112
6 16 -5 129
7 15 -4 140
8 12 -2 141
9 -4 -8 143
10 -19 -13 146
11 -32 -14 143
12 -39 -14 137
13 -45 -15 127
14 -48 -17 119
15 -48 -17 110
16 -50 -19 101
17 -53 -23 91
18 -51 -25 82
19 -48 -25 72
20 -45 -27 64
21 -40 -27 59
22 -31 -26 52
23 -20 -26 46
24 -15 -27 47
25 -12 -31 50
26 -7 -31 49
27 -1 -29 49
28 3 -29 53
29 4 -29 54
30 8 -27 59
31 17 -23 62
32 19 -22 61
33 14 -24 63
34 16 -23 74
35 21 -19 78
36 16 -18 81
37 11 -21 92
38 22 -14 98
39 25 -11 106
40 9 -19 115
41 10 -16 119
42 18 -8 125
43 16 -8 132
44 16 -8 131
45 18 -4 131
46 7 -8 138
47 -2 -9 138
48 -3 -5 132
49 -3 -2 123
50 -13 -7 119
51 -26 -13 119
52 -28 -12 112
