t x y z
1 14 13 88
2 0 11 76
3 0 9 70
4 0 4 69
5 0 3 68
6 -1 2 69
7 -2 1 70
8 -2 0 74
9 -1 -4 78
10 0 -3 79
11 4 -2 84
12 9 -1 85
13 14 -1 90
14 15 0 94
15 20 0 95
16 24 4 100
17 25 4 104
18 29 4 105
19 29 3 110
20 29 2 111
21 27 1 116
22 23 0 122
23 22 -4 126
24 17 -5 127
25 15 -6 128
26 13 -7 129
27 12 -7 130
28 11 -7 136
29 11 -7 137
30 12 -7 138
31 16 -5 142
32 16 -4 143
33 17 0 143
34 18 0 143
35 19 0 142
36 19 1 142
37 17 0 142
38 12 -1 141
39 8 -2 140
40 4 -6 140
41 2 -6 140
42 0 -7 140
43 -1 -7 141
44 -5 -8 142
45 -6 -9 146
46 -10 -9 147
47 -11 -10 147
48 -17 -14 147
49 -18 -14 146
50 -22 -14 146
51 -23 -15 146
52 -28 -14 145
53 -28 -14 144
54 -29 -14 144
55 -30 -14 144
56 -34 -14 143
57 -35 -14 141
58 -40 -15 140
59 -41 -15 139
60 -41 -15 134
61 -42 -14 133
62 -43 -14 131
63 -44 -15 129
64 -45 -15 127
65 -46 -15 125
66 -47 -16 124
67 -48 -17 123
68 -48 -17 122
69 -48 -17 121
70 -48 -17 119
71 -48 -17 117
72 -48 -17 112
73 -48 -16 112
74 -48 -17 112
75 -48 -17 111
76 -48 -17 109
77 -48 -17 108
78 -48 -17 104
79 -48 -17 103
80 -49 -18 98
81 -50 -19 98
82 -51 -19 97
83 -52 -20 97
84 -53 -24 96
85 -54 -24 95
86 -54 -24 93
87 -54 -24 91
88 -54 -25 89
89 -54 -25 87
90 -53 -25 85
91 -52 -24 84
92 -51 -24 83
93 -51 -25 82
94 -51 -25 81
95 -50 -25 79
96 -49 -24 77
97 -48 -24 75
98 -47 -24 73
99 -47 -25 71
100 -47 -25 69
101 -47 -25 67
102 -47 -26 66
103 -47 -27 65
104 -47 -28 63
105 -46 -29 62
106 -45 -29 62
107 -44 -29 63
108 -43 -28 62
109 -42 -28 62
110 -41 -28 61
111 -40 -27 60
112 -39 -26 56
113 -38 -26 56
114 -36 -27 55
115 -35 -27 53
116 -33 -27 51
117 -29 -26 50
118 -28 -26 50
119 -26 -26 49
120 -22 -26 48
121 -21 -26 47
122 -19 -26 45
123 -18 -27 44
124 -17 -26 43
125 -16 -26 43
126 -15 -26 43
127 -14 -26 44
128 -14 -26 48
129 -14 -27 48
130 -14 -27 49
131 -14 -28 50
132 -14 -32 51
133 -13 -32 50
134 -12 -32 50
135 -11 -32 51
136 -10 -32 51
137 -10 -32 50
138 -10 -31 49
139 -9 -30 48
140 -7 -30 48
141 -6 -30 48
142 -2 -30 48
143 -1 -30 49
144 0 -29 49
145 1 -28 49
146 2 -27 49
147 3 -27 50
148 4 -28 54
149 3 -29 54
150 2 -29 54
151 2 -30 54
152 2 -31 53
153 3 -30 52
154 4 -30 52
155 4 -30 53
156 5 -29 53
157 5 -28 54
158 5 -28 60
159 6 -28 60
160 7 -27 60
161 8 -26 61
162 9 -25 61
163 14 -24 61
164 14 -24 62
165 18 -24 62
166 19 -23 62
167 20 -22 63
168 21 -22 63
169 22 -21 63
170 22 -20 62
171 21 -21 62
172 20 -21 61
173 18 -21 59
174 16 -22 57
175 14 -26 57
176 13 -26 58
177 13 -25 62
178 13 -24 63
179 13 -24 64
180 13 -24 68
181 13 -25 72
182 13 -25 73
183 13 -25 74
184 17 -25 78
185 18 -23 79
186 22 -21 79
187 22 -19 79
188 23 -18 78
189 23 -17 78
190 22 -16 77
191 22 -16 76
192 21 -16 76
193 20 -16 77
194 18 -16 78
195 16 -17 79
196 14 -18 80
197 10 -22 86
198 9 -23 87
199 9 -23 92
200 9 -23 93
201 9 -23 94
202 9 -22 95
203 10 -22 96
204 15 -18 97
205 16 -17 97
206 21 -16 97
207 25 -15 98
208 26 -10 99
209 31 -9 99
210 31 -8 99
211 32 -8 100
212 32 -8 104
213 31 -8 105
214 25 -9 106
215 19 -10 112
216 13 -16 116
217 9 -20 117
218 5 -21 118
219 4 -22 119
220 3 -23 118
221 3 -22 117
222 4 -22 115
223 8 -21 115
224 9 -16 115
225 13 -15 115
226 14 -13 120
227 15 -11 121
228 16 -9 126
229 17 -8 125
230 21 -8 124
231 21 -7 125
232 21 -6 125
233 21 -6 126
234 20 -7 130
235 18 -7 131
236 16 -7 136
237 14 -8 135
238 13 -12 135
239 12 -11 135
240 12 -10 134
241 13 -10 133
242 14 -9 131
243 15 -8 130
244 19 -7 129
245 20 -5 127
246 21 -3 126
247 22 -1 126
248 22 0 126
249 21 0 130
250 19 -1 134
251 14 -2 135
252 10 -8 140
253 8 -9 140
254 4 -10 140
255 3 -11 140
256 1 -11 139
257 0 -11 138
258 0 -10 139
259 -1 -10 139
260 -2 -10 139
261 -3 -9 139
262 -4 -8 137
263 -4 -7 135
264 -4 -5 133
265 -3 -4 131
266 -2 -3 129
267 -2 -2 128
268 -2 -1 128
269 -2 0 124
270 -2 -1 123
271 -2 -2 121
272 -3 -3 120
273 -4 -3 119
274 -5 -3 118
275 -9 -4 118
276 -10 -5 118
277 -14 -6 119
278 -19 -10 119
279 -20 -11 119
280 -25 -12 120
281 -25 -16 121
282 -25 -15 121
283 -26 -13 120
284 -26 -12 119
285 -27 -13 118
286 -28 -13 118
287 -29 -13 117
288 -29 -13 116
289 -29 -13 115
290 -29 -13 110
291 -29 -12 106
292 -28 -11 102
293 -24 -9 101
294 -23 -7 100
295 -21 -5 100
