x y C
0 0 29.0
0 1 16.0
0 2 27.0
0 3 32.0
0 4 18.0
0 5 22.0
0 6 32.0
0 7 45.0
0 8 44.0
0 9 50.0
0 10 55.0
0 11 60.0
0 12 59.0
0 13 64.0
0 14 65.0
0 15 54.0
0 16 56.0
0 17 50.0
0 18 46.0
0 19 50.0
0 20 36.0
0 21 34.0
0 22 31.0
0 23 20.0
0 24 17.0
0 25 10.0
0 26 4.0
0 27 6.0
0 28 13.0
0 29 12.0
0 30 1.0
0 31 5.0
0 32 5.0
0 33 1.0
0 34 1.0
0 35 6.0
0 36 12.0
0 37 13.0
0 38 17.0
0 39 21.0
0 40 24.0
0 41 28.0
0 42 33.0
0 43 37.0
0 44 33.0
0 45 34.0
0 46 40.0
0 47 49.0
1 0 40.0
1 1 27.0
1 2 38.0
1 3 43.0
1 4 29.0
1 5 33.0
1 6 43.0
1 7 56.0
1 8 55.0
1 9 61.0
1 10 66.0
1 11 71.0
1 12 70.0
1 13 75.0
1 14 76.0
1 15 65.0
1 16 67.0
1 17 61.0
1 18 57.0
1 19 61.0
1 20 47.0
1 21 45.0
1 22 42.0
1 23 31.0
1 24 28.0
1 25 21.0
1 26 15.0
1 27 17.0
1 28 24.0
1 29 23.0
1 30 12.0
1 31 6.0
1 32 6.0
1 33 10.0
1 34 10.0
1 35 17.0
1 36 23.0
1 37 24.0
1 38 28.0
1 39 32.0
1 40 35.0
1 41 39.0
1 42 44.0
1 43 48.0
1 44 44.0
1 45 45.0
1 46 51.0
1 47 60.0
2 0 28.0
2 1 15.0
2 2 26.0
2 3 31.0
2 4 17.0
2 5 21.0
2 6 31.0
2 7 44.0
2 8 43.0
2 9 49.0
2 10 54.0
2 11 59.0
2 12 58.0
2 13 63.0
2 14 64.0
2 15 53.0
2 16 55.0
2 17 49.0
2 18 45.0
2 19 49.0
2 20 35.0
2 21 33.0
2 22 30.0
2 23 19.0
2 24 16.0
2 25 9.0
2 26 3.0
2 27 5.0
2 28 12.0
2 29 11.0
2 30 0.0
2 31 6.0
2 32 6.0
2 33 2.0
2 34 2.0
2 35 5.0
2 36 11.0
2 37 12.0
2 38 16.0
2 39 20.0
2 40 23.0
2 41 27.0
2 42 32.0
2 43 36.0
2 44 32.0
2 45 33.0
2 46 39.0
2 47 48.0
3 0 28.0
3 1 15.0
3 2 26.0
3 3 31.0
3 4 17.0
3 5 21.0
3 6 31.0
3 7 44.0
3 8 43.0
3 9 49.0
3 10 54.0
3 11 59.0
3 12 58.0
3 13 63.0
3 14 64.0
3 15 53.0
3 16 55.0
3 17 49.0
3 18 45.0
3 19 49.0
3 20 35.0
3 21 33.0
3 22 30.0
3 23 19.0
3 24 16.0
3 25 9.0
3 26 3.0
3 27 5.0
3 28 12.0
3 29 11.0
3 30 0.0
3 31 6.0
3 32 6.0
3 33 2.0
3 34 2.0
3 35 5.0
3 36 11.0
3 37 12.0
3 38 16.0
3 39 20.0
3 40 23.0
3 41 27.0
3 42 32.0
3 43 36.0
3 44 32.0
3 45 33.0
3 46 39.0
3 47 48.0
4 0 23.0
4 1 10.0
4 2 21.0
4 3 26.0
4 4 12.0
4 5 16.0
4 6 26.0
4 7 39.0
4 8 38.0
4 9 44.0
4 10 49.0
4 11 54.0
4 12 53.0
4 13 58.0
4 14 59.0
4 15 48.0
4 16 50.0
4 17 44.0
4 18 40.0
4 19 44.0
4 20 30.0
4 21 28.0
4 22 25.0
4 23 14.0
4 24 11.0
4 25 4.0
4 26 2.0
4 27 0.0
4 28 7.0
4 29 6.0
4 30 5.0
4 31 11.0
4 32 11.0
4 33 7.0
4 34 7.0
4 35 0.0
4 36 6.0
4 37 7.0
4 38 11.0
4 39 15.0
4 40 18.0
4 41 22.0
4 42 27.0
4 43 31.0
4 44 27.0
4 45 28.0
4 46 34.0
4 47 43.0
5 0 13.0
5 1 0.0
5 2 11.0
5 3 16.0
5 4 2.0
5 5 6.0
5 6 16.0
5 7 29.0
5 8 28.0
5 9 34.0
5 10 39.0
5 11 44.0
5 12 43.0
5 13 48.0
5 14 49.0
5 15 38.0
5 16 40.0
5 17 34.0
5 18 30.0
5 19 34.0
5 20 20.0
5 21 18.0
5 22 15.0
5 23 4.0
5 24 1.0
5 25 6.0
5 26 12.0
5 27 10.0
5 28 3.0
5 29 4.0
5 30 15.0
5 31 21.0
5 32 21.0
5 33 17.0
5 34 17.0
5 35 10.0
5 36 4.0
5 37 3.0
5 38 1.0
5 39 5.0
5 40 8.0
5 41 12.0
5 42 17.0
5 43 21.0
5 44 17.0
5 45 18.0
5 46 24.0
5 47 33.0
6 0 10.0
6 1 3.0
6 2 8.0
6 3 13.0
6 4 1.0
6 5 3.0
6 6 13.0
6 7 26.0
6 8 25.0
6 9 31.0
6 10 36.0
6 11 41.0
6 12 40.0
6 13 45.0
6 14 46.0
6 15 35.0
6 16 37.0
6 17 31.0
6 18 27.0
6 19 31.0
6 20 17.0
6 21 15.0
6 22 12.0
