x y label
0.7461538462 0.7950819672 {\tiny$exp_1$}
0.8384615385 0.2427616927 {\tiny$exp_2$}
0.8934240363 0.7975708502 {\tiny$exp_3$}
0.8678571429 0.9382239382 {\tiny$exp_4$}
0.8603896104 0.4453781513 {\tiny$exp_5$}
0.841509434 0.5792207792 {\tiny$exp_6$}
0.7166666667 0.5608695652 {\tiny$exp_7$}
0.8917050691 0.7329545455 {\tiny$exp_8$}
0.6742857143 0.472 {\tiny$exp_9$}
0.871559633 0.4191176471 {\tiny$exp_{10}$}
0.9480519481 0.7479508197 {\tiny$exp_{11}$}
0.9230769231 0.8092485549 {\tiny$exp_{12}$}
0.880859375 0.9241803279 {\tiny$exp_{13}$}
0.8019230769 0.7897727273 {\tiny$exp_{14}$}
