t x y z
0 -2 -3 6
1 -1 -3 6
2 -1 -3 6
3 -2 -5 7
4 -3 -5 7
5 -2 -4 7
6 -2 -4 8
7 -2 -4 9
8 -2 -5 10
9 -2 -4 10
10 -2 -4 10
11 -3 -4 10
12 -3 -4 10
13 -2 -4 10
14 -2 -4 10
15 -2 -3 11
16 -1 -3 10
17 1 -2 8
18 1 -2 7
19 -1 -3 7
20 -2 -3 7
21 -2 -3 6
22 -1 -2 7
23 -2 -2 7
24 -2 -1 6
25 -1 -1 7
26 -1 -1 9
27 -2 -1 10
28 -3 -1 8
29 -2 -1 8
30 -2 -1 10
31 -2 0 11
32 -2 1 10
33 -3 1 11
34 -3 1 12
35 -2 2 12
36 -2 3 12
37 -4 2 12
38 -3 3 12
39 -2 4 12
40 -2 4 12
41 -3 3 12
42 -2 3 12
43 0 4 12
44 -1 4 12
45 -1 3 12
46 -1 3 12
47 2 4 12
48 2 3 11
49 1 2 11
50 1 2 10
51 2 2 10
52 2 2 10
53 1 1 10
54 1 1 10
55 1 1 10
56 1 2 10
57 -1 2 10
58 -1 2 11
59 1 2 11
60 1 2 11
61 1 1 10
62 1 2 8
63 0 2 9
64 -1 2 10
65 -2 2 11
66 -2 2 10
67 -2 2 8
68 -2 3 8
69 -2 4 9
70 -3 4 9
71 -4 4 10
72 -4 5 10
73 -4 5 11
74 -5 6 11
75 -5 7 10
76 -4 6 10
77 -4 5 11
78 -3 5 11
79 -3 5 10
80 -3 4 9
81 -4 3 8
82 -4 2 7
83 -3 2 7
84 -3 2 7
85 -3 2 8
86 -4 3 8
87 -4 4 8
88 -4 4 9
89 -4 5 10
90 -4 5 11
91 -5 5 11
92 -6 6 11
93 -7 6 11
94 -7 4 11
95 -7 2 11
96 -6 2 11
97 -7 3 11
98 -8 3 10
99 -8 3 9
100 -7 3 8
101 -6 4 8
102 -5 5 8
103 -5 6 8
104 -5 6 7
105 -4 7 7
106 -4 7 8
107 -4 7 8
108 -5 7 8
109 -6 7 8
110 -6 6 8
111 -5 3 10
112 -5 2 10
113 -6 3 10
114 -6 4 8
115 -7 2 8
116 -7 1 8
117 -6 -1 7
118 -5 -1 7
119 -4 0 7
120 -4 -1 8
121 -5 -2 10
122 -4 -2 10
123 -4 -1 10
124 -5 -2 11
125 -6 -2 11
126 -7 -2 11
127 -7 -2 11
128 -8 -1 11
129 -9 -2 12
130 -8 -2 11
131 -5 1 9
132 -4 2 7
133 -4 2 8
134 -6 2 8
135 -7 1 9
136 -6 1 8
137 -5 1 8
138 -4 -1 8
139 -4 -1 8
140 -4 -1 7
141 -3 -2 7
142 -4 -3 8
143 -4 -3 7
144 -4 -4 8
145 -4 -4 8
146 -4 -4 9
147 -3 -4 10
148 -3 -4 11
149 -2 -3 11
150 -3 -3 11
151 -4 -3 11
152 -4 -2 11
153 -2 -1 10
154 -1 -1 10
155 -1 -1 10
156 -1 0 10
157 -2 -1 10
158 -2 -1 10
159 -2 -1 10
160 -2 -1 10
161 -2 -2 10
162 -1 -2 10
163 1 -3 10
164 2 -3 10
165 2 -4 9
166 2 -4 9
167 2 -5 9
168 3 -5 9
169 3 -4 10
170 3 -4 10
171 2 -3 9
172 2 -3 9
173 1 -2 11
174 -1 -2 11
175 1 -2 11
176 2 -1 9
177 4 -1 9
178 3 -1 11
179 2 -1 11
180 3 -1 10
181 2 -2 11
182 1 -2 11
183 1 -2 9
184 1 -2 8
185 1 -2 9
186 1 -3 11
187 2 -3 11
188 3 -2 10
189 5 -2 10
190 4 -2 10
191 2 -2 11
192 2 -1 11
193 3 0 11
194 2 0 10
195 1 1 10
196 1 2 11
197 2 3 11
198 3 3 11
199 3 3 11
