x y
0 0.020833333333328596
1 13.020833333333329
2 2.0208333333333286
3 -2.9791666666666714
4 11.020833333333329
5 7.020833333333329
6 -2.9791666666666714
7 -15.979166666666671
8 -14.979166666666671
9 -20.97916666666667
10 -25.97916666666667
11 -30.97916666666667
12 -29.97916666666667
13 -34.97916666666667
14 -35.97916666666667
15 -24.97916666666667
16 -26.97916666666667
17 -20.97916666666667
18 -16.97916666666667
19 -20.97916666666667
20 -6.979166666666671
21 -4.979166666666671
22 -1.9791666666666714
23 9.020833333333329
24 12.020833333333329
25 19.02083333333333
26 25.02083333333333
27 23.02083333333333
28 16.02083333333333
29 17.02083333333333
30 28.02083333333333
31 34.02083333333333
32 34.02083333333333
33 30.02083333333333
34 30.02083333333333
35 23.02083333333333
36 17.02083333333333
37 16.02083333333333
38 12.020833333333329
39 8.020833333333329
40 5.020833333333329
41 1.0208333333333286
42 -3.9791666666666714
43 -7.979166666666671
44 -3.9791666666666714
45 -4.979166666666671
46 -10.979166666666671
47 -19.97916666666667
