t x y z
0 13 12 14
1 10 10 15
2 2 4 15
3 -2 -1 15
4 -1 -2 13
5 -1 -2 11
6 -3 -3 11
7 -3 -3 12
8 -3 -3 11
9 -1 -2 10
10 2 -1 9
11 2 -1 9
12 1 -2 10
13 2 -2 10
14 2 -2 9
15 2 -2 9
16 2 -3 11
17 2 -3 10
18 2 -3 10
19 1 -4 11
20 1 -4 12
21 2 -4 11
22 3 -4 11
23 2 -4 11
24 -1 -5 11
25 -1 -4 9
26 2 -3 9
27 -1 -3 11
28 -2 -3 11
29 -1 -1 11
30 -1 -1 12
31 -1 -1 12
32 1 2 11
33 -1 2 11
34 -2 2 9
35 -1 3 9
36 -1 3 9
37 1 3 8
38 2 3 7
39 1 2 8
40 0 0 8
41 2 0 10
42 3 0 11
43 2 -1 12
44 2 -1 12
45 2 -1 13
46 -1 -1 13
47 -2 -2 13
48 -4 -2 13
49 -4 -2 12
50 -5 -2 12
51 -5 -2 11
52 -5 -2 11
53 -6 -2 11
54 -6 -3 10
55 -6 -3 9
56 -5 -3 8
57 -5 -3 7
58 -5 -3 6
59 -4 -3 6
60 -2 -3 5
61 -2 -3 5
62 -2 -4 6
63 -1 -4 5
64 0 -3 5
65 1 -3 6
66 1 -3 6
67 1 -3 6
68 2 -3 7
69 2 -3 7
70 2 -3 7
71 2 -3 8
72 3 -2 8
73 2 -2 9
74 2 -3 10
75 3 -2 10
76 3 -2 11
77 1 -2 11
78 2 -2 11
79 2 -1 12
80 2 -1 12
81 2 -1 12
82 2 -1 12
83 1 -1 12
84 -1 -1 12
85 -1 -1 12
86 -1 -1 12
87 -2 -1 11
88 -3 -2 11
89 -3 -2 11
90 -3 -1 11
91 -3 -1 10
92 -3 -1 10
93 -2 -1 10
94 -2 -1 11
95 -2 -1 11
96 -2 -1 11
97 -1 -1 10
98 -1 -1 10
99 -1 -1 10
100 -1 -1 11
101 -1 -1 10
102 1 -1 10
103 0 -1 10
104 1 -1 11
105 1 -1 11
106 -1 -1 11
107 -1 -2 11
108 -1 -2 12
109 -2 -2 12
110 -2 -3 13
111 -3 -3 13
112 -3 -3 13
113 -2 -2 12
114 -1 -2 11
115 -1 -2 11
116 -1 -2 10
117 1 -2 9
118 1 -2 8
119 1 -2 7
120 1 -2 7
121 1 -2 7
122 1 -2 7
123 2 -2 7
124 2 -2 8
125 3 -3 9
126 3 -3 9
127 3 -3 9
128 3 -3 10
129 4 -3 10
130 4 -3 10
131 3 -4 10
132 2 -4 10
133 3 -3 10
134 2 -3 10
135 -1 -4 10
136 -2 -4 9
137 -2 -4 9
138 -3 -5 10
139 -4 -5 9
140 -4 -5 9
141 -4 -4 9
142 -5 -4 8
143 -5 -4 7
144 -5 -4 7
145 -6 -5 7
146 -5 -4 7
147 -3 -3 7
148 -4 -3 8
149 -4 -3 9
150 -2 -2 9
151 -1 -2 9
152 -2 -2 11
153 -2 -2 11
154 -1 -2 12
155 -1 -2 11
156 1 -1 12
157 3 -1 12
158 4 0 12
159 3 -1 12
160 4 -1 12
161 4 1 12
162 4 1 11
163 4 0 11
164 4 -1 11
165 4 1 11
166 4 1 11
167 3 1 11
168 2 0 11
169 1 1 11
170 -1 -1 11
171 -2 -1 11
172 -2 -1 11
173 -2 -1 10
174 -3 -1 11
175 -4 -2 11
176 -4 -2 10
177 -4 -2 10
