x y fscore
0.877 0.612 0.807
0.875 0.610 0.805
0.875 0.602 0.802
0.888 0.576 0.801
0.888 0.576 0.801
0.887 0.576 0.801
0.887 0.576 0.801
0.887 0.576 0.801
0.887 0.576 0.801
0.876 0.596 0.801
0.873 0.601 0.800
0.873 0.601 0.800
0.877 0.591 0.799
0.876 0.590 0.799
0.871 0.600 0.799
0.867 0.605 0.798
0.870 0.599 0.798
0.870 0.599 0.798
0.885 0.567 0.796
0.872 0.587 0.795
0.886 0.562 0.795
0.874 0.582 0.794
0.885 0.561 0.793
0.885 0.561 0.793
0.859 0.607 0.793
0.855 0.615 0.793
0.870 0.586 0.793
0.840 0.648 0.793
0.873 0.579 0.792
0.846 0.631 0.792
0.865 0.591 0.791
0.851 0.617 0.791
0.852 0.612 0.790
0.880 0.560 0.790
0.854 0.605 0.789
0.840 0.636 0.789
0.845 0.622 0.788
0.871 0.571 0.788
0.844 0.622 0.788
0.844 0.622 0.788
0.856 0.593 0.786
0.852 0.599 0.786
0.854 0.592 0.785
0.878 0.551 0.785
0.878 0.551 0.785
0.878 0.551 0.785
0.878 0.551 0.785
0.878 0.551 0.785
0.845 0.609 0.784
0.844 0.609 0.784
0.850 0.596 0.783
0.858 0.579 0.783
0.869 0.557 0.782
0.872 0.552 0.781
0.884 0.531 0.780
0.841 0.605 0.780
0.841 0.605 0.780
0.854 0.580 0.780
0.841 0.604 0.780
0.840 0.604 0.779
0.872 0.546 0.779
0.853 0.579 0.779
0.874 0.542 0.779
0.877 0.537 0.778
0.870 0.547 0.778
0.819 0.646 0.777
0.832 0.615 0.777
0.839 0.600 0.777
0.869 0.546 0.777
0.811 0.663 0.776
0.824 0.631 0.776
0.833 0.609 0.776
0.855 0.566 0.776
0.855 0.566 0.776
0.852 0.570 0.776
0.842 0.590 0.775
0.840 0.591 0.775
0.829 0.613 0.775
0.829 0.613 0.775
0.851 0.570 0.774
0.831 0.609 0.774
0.873 0.533 0.774
0.823 0.625 0.774
0.823 0.625 0.774
0.853 0.563 0.773
0.853 0.563 0.773
0.850 0.568 0.773
0.850 0.568 0.773
0.849 0.568 0.773
0.849 0.568 0.773
0.877 0.523 0.772
0.852 0.563 0.772
0.852 0.563 0.772
0.852 0.563 0.772
0.809 0.653 0.772
0.848 0.567 0.772
0.808 0.653 0.771
0.817 0.632 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.853 0.556 0.771
0.837 0.587 0.771
0.850 0.562 0.771
0.830 0.600 0.771
0.824 0.612 0.770
0.839 0.581 0.770
0.820 0.617 0.770
0.854 0.550 0.769
0.830 0.594 0.769
0.828 0.597 0.769
0.828 0.597 0.769
0.840 0.572 0.768
0.826 0.599 0.767
0.875 0.514 0.767
0.819 0.611 0.767
0.848 0.554 0.767
0.815 0.619 0.767
0.815 0.619 0.767
0.826 0.595 0.766
0.806 0.638 0.766
0.828 0.589 0.766
0.836 0.573 0.766
0.828 0.588 0.765
0.836 0.573 0.765
0.836 0.573 0.765
0.816 0.614 0.765
0.846 0.552 0.765
0.846 0.552 0.765
0.826 0.587 0.764
0.845 0.551 0.763
0.816 0.606 0.763
0.854 0.535 0.763
0.820 0.596 0.763
0.844 0.551 0.763
0.852 0.537 0.762
0.870 0.509 0.762
0.812 0.610 0.761
0.811 0.610 0.761
0.887 0.484 0.761
0.824 0.582 0.761
0.811 0.610 0.761
0.883 0.489 0.760
0.790 0.660 0.760
0.832 0.564 0.760
0.812 0.604 0.760
0.846 0.539 0.759
0.826 0.575 0.759
0.834 0.559 0.759
0.809 0.609 0.759
0.800 0.629 0.759
0.834 0.558 0.759
0.814 0.597 0.759
0.893 0.473 0.758
0.795 0.638 0.758
0.852 0.526 0.758
0.852 0.526 0.758
0.852 0.526 0.758
0.852 0.526 0.758
0.893 0.473 0.758
0.835 0.552 0.757
0.847 0.532 0.757
0.892 0.472 0.757
0.892 0.472 0.757
0.892 0.472 0.757
0.892 0.472 0.757
0.892 0.472 0.757
0.887 0.476 0.757
0.887 0.476 0.757
0.887 0.476 0.757
0.827 0.565 0.757
0.891 0.472 0.757
0.891 0.472 0.757
0.891 0.472 0.757
0.807 0.604 0.756
0.807 0.604 0.756
0.891 0.472 0.756
0.822 0.572 0.756
0.836 0.548 0.756
0.850 0.524 0.756
0.792 0.639 0.756
