x y fscore
0.812 0.672 0.696
0.841 0.658 0.688
0.759 0.665 0.682
0.825 0.652 0.681
0.840 0.648 0.679
0.808 0.653 0.679
0.757 0.657 0.674
0.819 0.646 0.674
0.832 0.643 0.674
0.824 0.644 0.673
0.790 0.649 0.673
0.570 0.703 0.671
0.807 0.644 0.671
0.569 0.702 0.671
0.569 0.702 0.671
0.569 0.702 0.671
0.568 0.701 0.670
0.568 0.701 0.670
0.840 0.636 0.668
0.806 0.638 0.666
0.831 0.634 0.666
0.846 0.631 0.665
0.792 0.639 0.665
0.764 0.644 0.664
0.739 0.647 0.664
0.570 0.692 0.663
0.762 0.642 0.663
0.817 0.632 0.662
0.785 0.635 0.660
0.781 0.635 0.660
0.558 0.689 0.658
0.853 0.622 0.657
0.800 0.629 0.657
0.787 0.631 0.657
0.823 0.625 0.657
0.845 0.622 0.657
0.818 0.626 0.657
0.844 0.622 0.656
0.719 0.642 0.656
0.793 0.629 0.656
0.793 0.629 0.656
0.742 0.637 0.656
0.563 0.683 0.655
0.802 0.626 0.655
0.562 0.682 0.654
0.562 0.682 0.654
0.754 0.633 0.654
0.573 0.677 0.653
0.781 0.626 0.652
0.789 0.625 0.652
0.785 0.625 0.651
0.787 0.624 0.651
0.815 0.619 0.650
0.815 0.619 0.650
0.837 0.616 0.650
0.548 0.681 0.650
0.875 0.610 0.650
0.852 0.612 0.649
0.852 0.612 0.649
0.554 0.677 0.648
0.763 0.624 0.647
0.764 0.623 0.647
0.829 0.613 0.647
0.568 0.670 0.647
0.759 0.624 0.647
0.774 0.621 0.646
0.567 0.669 0.646
0.563 0.670 0.646
0.859 0.607 0.645
0.845 0.609 0.645
0.741 0.625 0.645
0.794 0.616 0.645
0.844 0.609 0.645
0.563 0.669 0.645
0.717 0.629 0.644
0.867 0.605 0.644
0.751 0.622 0.644
0.797 0.614 0.644
0.833 0.609 0.643
0.545 0.674 0.643
0.819 0.611 0.643
0.792 0.614 0.643
0.785 0.615 0.643
0.544 0.673 0.643
0.854 0.605 0.643
0.854 0.605 0.643
0.710 0.628 0.643
0.789 0.614 0.643
0.875 0.602 0.642
0.551 0.669 0.642
0.775 0.615 0.642
0.811 0.610 0.641
0.831 0.607 0.641
0.756 0.617 0.641
0.841 0.605 0.641
0.873 0.601 0.641
0.873 0.601 0.641
0.762 0.616 0.641
0.542 0.671 0.640
0.841 0.604 0.640
0.841 0.604 0.640
0.871 0.600 0.640
0.871 0.600 0.640
0.798 0.609 0.639
0.870 0.599 0.639
0.821 0.605 0.639
0.771 0.612 0.638
0.544 0.667 0.638
0.852 0.599 0.637
0.876 0.596 0.637
0.856 0.599 0.637
0.837 0.601 0.637
0.536 0.668 0.637
0.762 0.611 0.636
0.807 0.604 0.636
0.864 0.597 0.636
0.536 0.667 0.636
0.532 0.668 0.636
0.839 0.600 0.636
0.541 0.665 0.636
0.738 0.614 0.636
0.783 0.607 0.635
0.767 0.609 0.635
0.561 0.657 0.635
0.545 0.662 0.635
0.807 0.602 0.634
0.773 0.607 0.634
0.872 0.593 0.634
0.826 0.599 0.633
0.759 0.607 0.633
0.848 0.595 0.633
0.828 0.597 0.632
0.552 0.656 0.632
0.561 0.652 0.632
0.876 0.590 0.632
0.737 0.610 0.632
0.544 0.658 0.631
0.789 0.601 0.631
0.568 0.649 0.631
0.784 0.601 0.631
0.826 0.595 0.631
0.777 0.602 0.630
0.830 0.594 0.630
0.776 0.601 0.630
0.552 0.652 0.630
0.809 0.596 0.629
0.841 0.592 0.629
0.779 0.600 0.629
0.533 0.658 0.629
0.533 0.658 0.629
0.802 0.596 0.629
0.756 0.603 0.629
0.840 0.591 0.628
0.551 0.651 0.628
0.872 0.587 0.628
0.826 0.593 0.628
0.534 0.657 0.628
0.534 0.657 0.628
0.528 0.658 0.627
0.536 0.655 0.627
0.870 0.586 0.627
0.526 0.658 0.627
0.538 0.653 0.626
0.729 0.605 0.626
0.733 0.604 0.626
0.814 0.592 0.626
0.805 0.593 0.626
0.805 0.592 0.625
0.828 0.589 0.625
0.709 0.607 0.625
0.828 0.589 0.625
0.828 0.588 0.625
0.831 0.588 0.625
0.875 0.583 0.624
0.787 0.593 0.624
0.836 0.587 0.624
0.874 0.582 0.623
0.775 0.594 0.623
0.729 0.600 0.622
0.734 0.599 0.622
0.775 0.592 0.622
0.826 0.585 0.621
0.806 0.587 0.621
0.873 0.579 0.621
0.806 0.586 0.620
0.534 0.646 0.620
0.525 0.649 0.620
0.554 0.639 0.620
0.888 0.576 0.620
0.729 0.597 0.620
0.858 0.579 0.619
0.887 0.576 0.619
0.887 0.576 0.619
0.887 0.576 0.619
0.887 0.576 0.619
0.745 0.594 0.619
0.534 0.645 0.619
0.853 0.579 0.619
0.762 0.591 0.619
0.777 0.588 0.618
0.707 0.600 0.618
0.824 0.582 0.618
0.759 0.590 0.618
0.793 0.585 0.618
0.852 0.577 0.617
0.706 0.598 0.617
0.806 0.582 0.617
0.754 0.590 0.617
0.555 0.634 0.616
0.551 0.635 0.616
0.551 0.635 0.616
0.535 0.640 0.616
0.521 0.644 0.615
0.550 0.634 0.615
0.773 0.585 0.615
0.747 0.588 0.614
0.563 0.628 0.614
0.871 0.571 0.614
0.797 0.580 0.614
0.726 0.590 0.613
0.530 0.638 0.613
0.802 0.579 0.613
0.532 0.637 0.613
0.795 0.579 0.612
0.701 0.593 0.612
0.526 0.638 0.612
0.719 0.590 0.612
0.836 0.573 0.611
0.522 0.639 0.611
0.836 0.573 0.611
0.836 0.573 0.611
0.840 0.572 0.611
0.852 0.571 0.611
0.539 0.632 0.611
0.852 0.570 0.611
0.852 0.570 0.611
0.768 0.581 0.611
0.730 0.587 0.611
0.549 0.628 0.610
0.519 0.638 0.610
0.533 0.633 0.610
0.851 0.570 0.610
0.851 0.570 0.610
0.797 0.576 0.610
0.535 0.632 0.610
0.772 0.579 0.609
0.822 0.572 0.609
0.678 0.594 0.609
0.703 0.589 0.609
0.798 0.574 0.608
0.850 0.568 0.608
0.850 0.568 0.608
0.537 0.629 0.608
0.849 0.568 0.608
0.822 0.571 0.608
0.822 0.571 0.608
0.542 0.627 0.608
0.848 0.567 0.607
0.518 0.635 0.607
0.529 0.630 0.607
0.746 0.580 0.607
0.855 0.566 0.607
0.533 0.629 0.607
0.802 0.572 0.607
0.541 0.625 0.606
0.810 0.571 0.606
0.857 0.565 0.606
0.549 0.622 0.606
0.885 0.561 0.606
0.885 0.561 0.606
0.805 0.570 0.605
0.877 0.562 0.605
0.611 0.604 0.605
0.522 0.629 0.605
0.853 0.563 0.604
0.853 0.563 0.604
0.880 0.560 0.604
0.530 0.626 0.604
0.759 0.575 0.604
0.529 0.626 0.604
0.852 0.563 0.603
0.852 0.563 0.603
0.852 0.563 0.603
0.532 0.624 0.603
0.832 0.564 0.603
0.827 0.565 0.603
0.824 0.565 0.603
0.717 0.579 0.603
0.526 0.625 0.603
0.850 0.562 0.602
0.850 0.562 0.602
0.522 0.626 0.602
0.822 0.564 0.602
0.852 0.560 0.601
0.691 0.582 0.601
0.727 0.576 0.601
0.774 0.569 0.601
0.728 0.575 0.601
0.535 0.619 0.600
0.802 0.565 0.600
0.520 0.624 0.600
0.728 0.575 0.600
0.536 0.618 0.600
0.737 0.573 0.600
0.673 0.583 0.599
0.766 0.568 0.599
0.548 0.613 0.599
0.526 0.620 0.599
0.556 0.610 0.599
0.513 0.624 0.598
0.796 0.563 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.853 0.556 0.598
0.545 0.613 0.598
0.834 0.558 0.598
0.680 0.580 0.598
0.608 0.595 0.597
0.608 0.595 0.597
0.822 0.559 0.597
0.603 0.596 0.597
0.848 0.556 0.597
0.529 0.616 0.596
0.532 0.615 0.596
0.526 0.616 0.596
0.848 0.554 0.596
0.872 0.552 0.596
0.726 0.570 0.595
0.799 0.560 0.595
0.725 0.570 0.595
0.522 0.616 0.595
0.878 0.551 0.595
0.878 0.551 0.595
0.878 0.551 0.595
0.878 0.551 0.595
0.827 0.556 0.595
0.847 0.553 0.595
0.835 0.554 0.594
0.518 0.617 0.594
0.764 0.563 0.594
0.731 0.567 0.594
0.772 0.561 0.593
0.800 0.557 0.593
0.591 0.594 0.593
0.725 0.567 0.593
0.517 0.615 0.593
0.628 0.584 0.593
0.888 0.547 0.593
0.513 0.616 0.592
0.845 0.551 0.592
0.720 0.567 0.592
0.844 0.551 0.592
0.835 0.552 0.592
0.844 0.551 0.592
0.843 0.550 0.591
0.886 0.546 0.591
0.824 0.552 0.591
0.584 0.593 0.591
0.724 0.565 0.591
0.513 0.614 0.591
0.512 0.614 0.590
0.718 0.565 0.590
0.513 0.613 0.590
0.678 0.571 0.590
0.600 0.587 0.590
0.518 0.611 0.590
0.544 0.602 0.589
0.600 0.587 0.589
0.604 0.585 0.589
0.802 0.552 0.589
0.839 0.548 0.589
0.783 0.554 0.588
0.495 0.617 0.588
0.526 0.605 0.588
0.840 0.547 0.588
0.675 0.569 0.587
0.562 0.594 0.587
0.544 0.599 0.587
0.585 0.587 0.587
0.518 0.607 0.587
0.518 0.607 0.587
0.774 0.553 0.586
0.680 0.566 0.586
0.845 0.544 0.586
0.832 0.545 0.585
0.510 0.607 0.585
0.529 0.601 0.585
0.539 0.597 0.584
0.806 0.547 0.584
0.667 0.566 0.584
0.747 0.553 0.584
0.706 0.559 0.584
0.684 0.563 0.583
0.534 0.597 0.583
0.605 0.577 0.583
0.592 0.580 0.582
0.540 0.594 0.582
0.619 0.574 0.582
0.877 0.537 0.582
0.877 0.537 0.582
0.818 0.543 0.582
0.618 0.573 0.582
0.656 0.566 0.582
0.730 0.553 0.581
0.848 0.539 0.581
0.596 0.578 0.581
0.823 0.541 0.581
0.538 0.593 0.581
0.492 0.608 0.581
0.838 0.539 0.580
0.595 0.577 0.580
0.585 0.579 0.580
0.624 0.570 0.580
0.791 0.544 0.580
0.591 0.577 0.580
0.837 0.538 0.580
0.618 0.571 0.580
0.852 0.537 0.579
0.599 0.574 0.579
0.599 0.574 0.579
0.785 0.544 0.579
0.716 0.553 0.579
0.839 0.537 0.579
0.873 0.534 0.579
0.581 0.578 0.579
0.854 0.535 0.579
0.552 0.586 0.578
0.873 0.533 0.578
0.595 0.574 0.578
0.688 0.556 0.578
0.722 0.551 0.578
0.527 0.592 0.578
0.523 0.593 0.578
0.884 0.531 0.577
0.642 0.563 0.577
0.572 0.579 0.577
0.544 0.586 0.577
0.720 0.549 0.577
0.480 0.607 0.576
0.525 0.590 0.576
0.838 0.534 0.576
0.851 0.533 0.576
0.535 0.587 0.576
0.704 0.550 0.575
0.704 0.550 0.575
0.559 0.580 0.575
0.534 0.586 0.575
0.778 0.540 0.575
0.582 0.572 0.574
0.526 0.588 0.574
0.553 0.580 0.574
0.597 0.569 0.574
0.531 0.586 0.574
0.515 0.590 0.574
0.821 0.533 0.573
0.687 0.551 0.573
0.639 0.559 0.573
0.677 0.552 0.573
0.526 0.586 0.573
0.843 0.530 0.573
0.652 0.555 0.572
0.583 0.570 0.572
0.525 0.585 0.572
0.603 0.565 0.572
0.409 0.635 0.572
0.838 0.529 0.572
0.591 0.567 0.571
0.546 0.578 0.571
0.559 0.575 0.571
0.512 0.588 0.571
0.555 0.575 0.571
0.675 0.550 0.571
0.559 0.574 0.571
0.513 0.587 0.570
0.545 0.577 0.570
0.517 0.585 0.570
0.607 0.561 0.570
0.596 0.563 0.570
0.568 0.570 0.570
0.511 0.587 0.570
0.852 0.526 0.570
0.852 0.526 0.570
0.852 0.526 0.570
0.852 0.526 0.570
0.852 0.526 0.570
0.536 0.578 0.569
0.837 0.527 0.569
0.552 0.574 0.569
0.716 0.542 0.569
0.571 0.569 0.569
0.661 0.550 0.569
0.588 0.564 0.569
0.728 0.539 0.569
0.555 0.572 0.569
0.838 0.526 0.569
0.708 0.542 0.568
0.519 0.582 0.568
0.761 0.534 0.568
0.582 0.565 0.568
0.541 0.575 0.568
0.837 0.526 0.568
0.510 0.584 0.568
0.509 0.584 0.568
0.556 0.570 0.567
0.419 0.623 0.567
0.599 0.560 0.567
0.599 0.560 0.567
0.830 0.526 0.567
0.643 0.551 0.567
0.585 0.563 0.567
0.836 0.525 0.567
0.836 0.525 0.567
0.836 0.525 0.567
0.836 0.525 0.567
0.836 0.525 0.567
0.574 0.565 0.567
0.523 0.579 0.567
0.548 0.571 0.566
0.835 0.524 0.566
0.546 0.571 0.566
0.636 0.551 0.566
0.593 0.560 0.566
0.520 0.579 0.566
0.589 0.560 0.566
0.540 0.572 0.566
0.405 0.628 0.566
0.538 0.573 0.565
0.677 0.543 0.565
0.421 0.618 0.565
0.550 0.569 0.565
0.611 0.554 0.565
0.672 0.543 0.565
0.543 0.571 0.565
0.406 0.626 0.565
0.644 0.548 0.564
0.788 0.527 0.564
0.584 0.560 0.564
0.602 0.555 0.564
0.522 0.576 0.564
0.509 0.580 0.564
0.394 0.632 0.564
0.849 0.520 0.564
0.552 0.567 0.564
0.697 0.538 0.564
0.395 0.631 0.564
0.558 0.565 0.563
0.700 0.537 0.563
0.842 0.520 0.563
0.624 0.550 0.563
0.842 0.520 0.563
0.564 0.562 0.563
0.557 0.564 0.563
0.566 0.562 0.563
0.562 0.563 0.563
0.841 0.519 0.562
0.554 0.564 0.562
0.841 0.519 0.562
0.850 0.518 0.562
0.504 0.579 0.562
0.710 0.534 0.562
0.588 0.555 0.562
0.571 0.559 0.561
0.781 0.524 0.561
0.584 0.556 0.561
0.877 0.515 0.561
0.672 0.539 0.561
0.528 0.570 0.561
0.573 0.558 0.561
0.848 0.517 0.561
0.556 0.562 0.561
0.548 0.564 0.561
0.850 0.516 0.560
0.478 0.586 0.560
0.585 0.554 0.560
0.542 0.565 0.560
0.582 0.555 0.560
0.515 0.573 0.560
0.573 0.557 0.560
0.406 0.619 0.560
0.848 0.516 0.560
0.803 0.521 0.560
0.502 0.576 0.560
0.725 0.529 0.560
0.600 0.550 0.560
0.551 0.562 0.559
0.591 0.552 0.559
0.883 0.512 0.559
0.597 0.550 0.559
0.513 0.572 0.559
0.646 0.541 0.559
0.554 0.560 0.559
0.585 0.553 0.559
0.666 0.537 0.559
