x y fscore
0.8413867433 0.6578651685 0.7383936313
0.8399126796 0.6484550562 0.7318696996
0.8399126796 0.6484550562 0.7318696996
0.8256082401 0.6529494382 0.72919771
0.8197326767 0.6546348315 0.7279400281
0.8322733055 0.643258427 0.7256595104
0.8398292502 0.6355337079 0.7235369364
0.8458207831 0.6310393258 0.7228120978
0.8239525265 0.6435393258 0.722655942
0.8085624782 0.6525280899 0.7222135862
0.8187321937 0.6457865169 0.7220477387
0.7960604517 0.6584269663 0.7207318011
0.8314006994 0.6344101124 0.7196686051
0.8534798535 0.6217696629 0.7194279678
0.792893401 0.6581460674 0.7192632387
0.8735400725 0.6092696629 0.7178553698
0.8449065242 0.6220505618 0.7165507199
0.8449065242 0.6220505618 0.7165507199
0.8443342236 0.6216292135 0.7160653616
0.8443342236 0.6216292135 0.7160653616
0.850697134 0.616994382 0.7152393357
0.8235509905 0.6306179775 0.7142857143
0.8674311004 0.6056179775 0.7132577951
0.8672299336 0.6054775281 0.7130923828
0.874515405 0.6019662921 0.7130854338
0.874515405 0.6019662921 0.7130854338
0.8520617549 0.6123595506 0.7125929558
0.8520617549 0.6123595506 0.7125929558
0.7900769889 0.6485955056 0.7123794832
0.8316144759 0.6228932584 0.7122781659
0.8593563766 0.6075842697 0.7118644068
0.8591577275 0.6074438202 0.7116998519
0.8591577275 0.6074438202 0.7116998519
0.8726790451 0.6007022472 0.7115880542
0.8726790451 0.6007022472 0.7115880542
0.8726790451 0.6007022472 0.7115880542
0.817716895 0.6287921348 0.7109170306
0.8227684347 0.6252808989 0.7105578166
0.8227684347 0.6252808989 0.7105578166
0.8712507651 0.5997191011 0.7104234257
0.8712507651 0.5997191011 0.7104234257
0.783788367 0.6491573034 0.7101482676
0.8704346052 0.5991573034 0.7097579236
0.8758506909 0.596488764 0.7096666388
0.8191508914 0.6259831461 0.7096568745
0.8702305652 0.5990168539 0.7095915481
0.8138646288 0.6282303371 0.7090995561
0.853972657 0.6053370787 0.7084737404
0.853972657 0.6053370787 0.7084737404
0.8449249951 0.6091292135 0.7079082674
0.7924068269 0.6390449438 0.707510496
0.8443405416 0.6087078652 0.7074185914
0.8316869301 0.6148876404 0.7070413437
0.7888080388 0.6394662921 0.7063295067
0.8644688645 0.5966292135 0.7059996676
0.8763810715 0.5904494382 0.705546698
0.8763810715 0.5904494382 0.705546698
0.82896735 0.6133426966 0.7050371327
0.8563391601 0.5985955056 0.7046375134
0.800250134 0.6290730337 0.7044114178
0.800250134 0.6290730337 0.7044114178
0.8522364217 0.5994382022 0.7038258575
0.8149722736 0.619241573 0.7037509976
0.8149722736 0.619241573 0.7037509976
0.8413132695 0.6046348315 0.7036038245
0.8331731693 0.6088483146 0.7035624442
0.8331731693 0.6088483146 0.7035624442
0.8193873739 0.6161516854 0.7033830367
0.7569624352 0.6566011236 0.7032190132
0.8402967591 0.604494382 0.7031530796
0.8405315615 0.6040730337 0.7029500695
0.8405315615 0.6040730337 0.7029500695
0.8397110504 0.6040730337 0.7026629636
0.8744507219 0.5869382022 0.7024119674
0.7845620121 0.635252809 0.702056655
0.8645426516 0.5907303371 0.7018773467
0.7907345429 0.6304775281 0.7015706806
0.7925296513 0.6287921348 0.7012295403
0.7925296513 0.6287921348 0.7012295403
0.7830907831 0.6348314607 0.7012100527
0.8725674827 0.5856741573 0.7008992352
0.8563311688 0.5926966292 0.7005312085
0.787103557 0.6308988764 0.7003975988
0.8700729927 0.5859550562 0.7002937474
0.8698644421 0.5858146067 0.7001258917
0.8194156456 0.6105337079 0.6997183099
0.8541919806 0.5924157303 0.6996185105
0.8285879184 0.6049157303 0.6993018347
0.8385385975 0.5995786517 0.6992056343
0.8686131387 0.5849719101 0.6991187579
0.7854513585 0.6293539326 0.698791423
0.8876866479 0.5761235955 0.6987479772
0.8874702445 0.5759831461 0.6985776339
0.8874702445 0.5759831461 0.6985776339
0.8874702445 0.5759831461 0.6985776339
0.8874702445 0.5759831461 0.6985776339
0.8874702445 0.5759831461 0.6985776339
0.8874702445 0.5759831461 0.6985776339
0.8732869492 0.581741573 0.6983056562
0.7976534296 0.6206460674 0.6981042654
0.867278798 0.5837078652 0.6977837475
0.874841169 0.5801966292 0.6976862017
0.7623019183 0.6418539326 0.6969119329
0.8589083419 0.5856741573 0.6964509395
0.7542192364 0.646488764 0.6962111472
0.7686693822 0.6360955056 0.6961266523
0.7870304748 0.6238764045 0.6960200564
0.8106442577 0.6096910112 0.6959519038
0.8106442577 0.6096910112 0.6959519038
0.8291877186 0.5992977528 0.6957443339
0.8550635506 0.5858146067 0.6952825471
0.7631844138 0.6382022472 0.6951200857
0.8494012584 0.5877808989 0.6947787831
0.8412539936 0.5917134831 0.6947559367
0.8091503268 0.6085674157 0.6946693387
0.8703939009 0.577247191 0.6941395035
0.8404552716 0.5911516854 0.6940963061
0.8256489733 0.5985955056 0.6940237746
0.8281706604 0.5970505618 0.6938708888
0.8281706604 0.5970505618 0.6938708888
0.7937398227 0.6161516854 0.6937613663
0.7937398227 0.6161516854 0.6937613663
0.7965762156 0.6143258427 0.6936801205
0.7779136816 0.6252808989 0.6932959589
0.779768177 0.6235955056 0.69299204
0.8114630468 0.604494382 0.6928525435
0.8298999411 0.5941011236 0.692477695
0.826222482 0.5956460674 0.6922386354
0.8258328463 0.5953651685 0.6919121848
0.8258328463 0.5953651685 0.6919121848
0.7915686629 0.6144662921 0.6918636831
0.835121176 0.5904494382 0.6917887115
0.8847502191 0.5671348315 0.6912016433
0.8073962831 0.6040730337 0.6910902225
0.8073962831 0.6040730337 0.6910902225
0.7792093187 0.6200842697 0.6905990928
0.7887425582 0.6140449438 0.6905156756
0.8707468436 0.571488764 0.6900703807
0.7852661767 0.6153089888 0.6899755886
0.8411479386 0.5845505618 0.6897580378
0.8291239148 0.5901685393 0.6895306859
0.8532642487 0.5782303371 0.6893260779
0.8285319653 0.589747191 0.6890383984
0.7738658259 0.620505618 0.6887520461
0.8279400158 0.5893258427 0.6885461109
0.777640191 0.6174157303 0.6883269396
0.8279676081 0.5887640449 0.688172043
0.8353059178 0.5848314607 0.6879801735
0.8863787375 0.5620786517 0.6879243661
0.8275725854 0.5884831461 0.6878437167
0.8275725854 0.5884831461 0.6878437167
0.8382858298 0.5824438202 0.6873290793
0.8850498339 0.5612359551 0.6868929953
0.8850498339 0.5612359551 0.6868929953
0.8850498339 0.5612359551 0.6868929953
0.7845792705 0.610252809 0.6865223574
0.7635925671 0.6233146067 0.6863594185
0.7630177006 0.6235955056 0.6862972409
0.808534959 0.5960674157 0.6862317083
0.7422680412 0.6370786517 0.6856624594
0.7785918513 0.6119382022 0.6852783894
0.8512103506 0.5728932584 0.6848556078
0.8408997955 0.5775280899 0.6847626978
0.7503766951 0.629494382 0.6846406477
0.8801589053 0.5601123596 0.6845764312
0.7585853409 0.6235955056 0.684498574
0.7732743363 0.6136235955 0.6842599843
0.8362418831 0.5787921348 0.6840969456
0.7371410028 0.6380617978 0.6840322216
0.8516656191 0.5709269663 0.6835953922
0.8522560336 0.5703651685 0.6833824148
0.8522560336 0.5703651685 0.6833824148
0.8522560336 0.5703651685 0.6833824148
0.8279311725 0.5811797753 0.682950982
0.8068225374 0.5912921348 0.6824444805
0.8213438735 0.5837078652 0.6824302135
0.850996852 0.5695224719 0.6823727387
0.850996852 0.5695224719 0.6823727387
0.8045012397 0.5924157303 0.6823586508
0.8045012397 0.5924157303 0.6823586508
0.8239506664 0.581741573 0.6819790895
0.8651976669 0.5625 0.6817601498
