x y
2 0.288458284
4 0.6119560797
6 0.6011701609
8 0.6355390804
10 0.6492114055
12 0.672810358
14 0.6846614603
16 0.6735712126
18 0.7033750474
20 0.6978658537
22 0.6997476871
24 0.7250589757
26 0.7207318011
28 0.7352647353
30 0.7279400281
32 0.7285703082
34 0.7256595104
36 0.7383936313
38 0.7232947233
40 0.7228120978
42 0.7098399285
44 0.7104899651
46 0.7153714146
48 0.7194279678
50 0.6905897114
52 0.6895859473
54 0.6835953922
56 0.6847725553
57 0.6847725553
60 0.685613386
80 0.6809769289
120 0.6809769289
160 0.6809769289
200 0.6809769289
