x y C
0 0 29.0
0 1 16.0
0 2 27.0
0 3 32.0
0 4 18.0
0 5 nan
0 6 nan
0 7 nan
0 8 nan
0 9 nan
0 10 nan
0 11 nan
0 12 nan
0 13 nan
0 14 nan
0 15 nan
0 16 nan
0 17 nan
0 18 nan
0 19 nan
0 20 nan
0 21 nan
0 22 nan
0 23 nan
0 24 nan
0 25 nan
0 26 nan
0 27 nan
0 28 nan
0 29 nan
0 30 nan
0 31 nan
0 32 nan
0 33 nan
0 34 nan
0 35 nan
0 36 nan
0 37 nan
0 38 nan
0 39 nan
0 40 nan
0 41 nan
0 42 nan
0 43 nan
0 44 nan
0 45 nan
0 46 nan
0 47 nan
1 0 40.0
1 1 27.0
1 2 38.0
1 3 43.0
1 4 29.0
1 5 33.0
1 6 nan
1 7 nan
1 8 nan
1 9 nan
1 10 nan
1 11 nan
1 12 nan
1 13 nan
1 14 nan
1 15 nan
1 16 nan
1 17 nan
1 18 nan
1 19 nan
1 20 nan
1 21 nan
1 22 nan
1 23 nan
1 24 nan
1 25 nan
1 26 nan
1 27 nan
1 28 nan
1 29 nan
1 30 nan
1 31 nan
1 32 nan
1 33 nan
1 34 nan
1 35 nan
1 36 nan
1 37 nan
1 38 nan
1 39 nan
1 40 nan
1 41 nan
1 42 nan
1 43 nan
1 44 nan
1 45 nan
1 46 nan
1 47 nan
2 0 28.0
2 1 15.0
2 2 26.0
2 3 31.0
2 4 17.0
2 5 21.0
2 6 31.0
2 7 nan
2 8 nan
2 9 nan
2 10 nan
2 11 nan
2 12 nan
2 13 nan
2 14 nan
2 15 nan
2 16 nan
2 17 nan
2 18 nan
2 19 nan
2 20 nan
2 21 nan
2 22 nan
2 23 nan
2 24 nan
2 25 nan
2 26 nan
2 27 nan
2 28 nan
2 29 nan
2 30 nan
2 31 nan
2 32 nan
2 33 nan
2 34 nan
2 35 nan
2 36 nan
2 37 nan
2 38 nan
2 39 nan
2 40 nan
2 41 nan
2 42 nan
2 43 nan
2 44 nan
2 45 nan
2 46 nan
2 47 nan
3 0 28.0
3 1 15.0
3 2 26.0
3 3 31.0
3 4 17.0
3 5 21.0
3 6 31.0
3 7 44.0
3 8 nan
3 9 nan
3 10 nan
3 11 nan
3 12 nan
3 13 nan
3 14 nan
3 15 nan
3 16 nan
3 17 nan
3 18 nan
3 19 nan
3 20 nan
3 21 nan
3 22 nan
3 23 nan
3 24 nan
3 25 nan
3 26 nan
3 27 nan
3 28 nan
3 29 nan
3 30 nan
3 31 nan
3 32 nan
3 33 nan
3 34 nan
3 35 nan
3 36 nan
3 37 nan
3 38 nan
3 39 nan
3 40 nan
3 41 nan
3 42 nan
3 43 nan
3 44 nan
3 45 nan
3 46 nan
3 47 nan
4 0 23.0
4 1 10.0
4 2 21.0
4 3 26.0
4 4 12.0
4 5 16.0
4 6 26.0
4 7 39.0
4 8 38.0
4 9 nan
4 10 nan
4 11 nan
4 12 nan
4 13 nan
4 14 nan
4 15 nan
4 16 nan
4 17 nan
4 18 nan
4 19 nan
4 20 nan
4 21 nan
4 22 nan
4 23 nan
4 24 nan
4 25 nan
4 26 nan
4 27 nan
4 28 nan
4 29 nan
4 30 nan
4 31 nan
4 32 nan
4 33 nan
4 34 nan
4 35 nan
4 36 nan
4 37 nan
4 38 nan
4 39 nan
4 40 nan
4 41 nan
4 42 nan
4 43 nan
4 44 nan
4 45 nan
4 46 nan
4 47 nan
5 0 13.0
5 1 0.0
5 2 11.0
5 3 16.0
5 4 2.0
5 5 6.0
5 6 16.0
5 7 29.0
5 8 28.0
5 9 34.0
5 10 nan
5 11 nan
5 12 nan
5 13 nan
5 14 nan
5 15 nan
5 16 nan
5 17 nan
5 18 nan
5 19 nan
5 20 nan
5 21 nan
5 22 nan
5 23 nan
5 24 nan
5 25 nan
5 26 nan
5 27 nan
5 28 nan
5 29 nan
5 30 nan
5 31 nan
5 32 nan
5 33 nan
5 34 nan
5 35 nan
5 36 nan
5 37 nan
5 38 nan
5 39 nan
5 40 nan
5 41 nan
5 42 nan
5 43 nan
5 44 nan
5 45 nan
5 46 nan
5 47 nan
6 0 nan
6 1 3.0
6 2 8.0
6 3 13.0
6 4 1.0
6 5 3.0
6 6 13.0
6 7 26.0
6 8 25.0
6 9 31.0
6 10 36.0
6 11 nan
6 12 nan
6 13 nan
6 14 nan
6 15 nan
6 16 nan
6 17 nan
6 18 nan
6 19 nan
6 20 nan
6 21 nan
6 22 nan
6 23 nan
6 24 nan
6 25 nan
6 26 nan
6 27 nan
6 28 nan
6 29 nan
6 30 nan
6 31 nan
6 32 nan
6 33 nan
6 34 nan
6 35 nan
6 36 nan
6 37 nan
6 38 nan
6 39 nan
6 40 nan
6 41 nan
6 42 nan
6 43 nan
6 44 nan
6 45 nan
6 46 nan
6 47 nan
7 0 nan
7 1 nan
7 2 8.0
7 3 13.0
7 4 1.0
7 5 3.0
7 6 13.0
7 7 26.0
7 8 25.0
7 9 31.0
