x y
0.5468581133 0.4974719101
0.5468581133 0.4974719101
0.5237785016 0.4516853933
0.5036662011 0.4051966292
0.5063312511 0.4212078652
0.5422194475 0.4879213483
0.5521769178 0.4488764045
0.5350345116 0.3592696629
0.503755548 0.4144662921
0.5328642252 0.4679775281
0.5486297689 0.4301966292
0.5906074528 0.325
0.5388969756 0.4679775281
0.5237785016 0.4516853933
0.5035243087 0.3912921348
0.5344883949 0.4592696629
0.5190060885 0.4429775281
0.5037383178 0.378511236
0.5237785016 0.4516853933
0.5423755268 0.4880617978
0.5344883949 0.4592696629
0.5423755268 0.4880617978
0.5415978871 0.4608146067
